=== Lista de Audios do Perfect Dark (Total: 548) ===
Formato para substituir/dublar:
  - Nome do arquivo: audio/<NomeDoArquivo>.mp3 (ex: Arecep01M.mp3)
  - Ou por ID decimal: audio/<ID_DEC>.mp3 (ex: 0625.mp3)
  - Ou por ID hexadecimal: audio/<ID_HEX>.mp3 (ex: 0271.mp3)

ID_DEC: 0683 | ID_HEX: 0x02ab | Nome: Aa51jo5M     | Arquivo: Aa51jo5M.mp3     | Tamanho: 3744 bytes
ID_DEC: 0684 | ID_HEX: 0x02ac | Nome: Aa51jo6M     | Arquivo: Aa51jo6M.mp3     | Tamanho: 9136 bytes
ID_DEC: 0685 | ID_HEX: 0x02ad | Nome: Aa51jon01M   | Arquivo: Aa51jon01M.mp3   | Tamanho: 9520 bytes
ID_DEC: 0686 | ID_HEX: 0x02ae | Nome: Aa51jon02M   | Arquivo: Aa51jon02M.mp3   | Tamanho: 6320 bytes
ID_DEC: 0687 | ID_HEX: 0x02af | Nome: Aa51jon03M   | Arquivo: Aa51jon03M.mp3   | Tamanho: 8432 bytes
ID_DEC: 0688 | ID_HEX: 0x02b0 | Nome: Aa51jon04M   | Arquivo: Aa51jon04M.mp3   | Tamanho: 7264 bytes
ID_DEC: 0689 | ID_HEX: 0x02b1 | Nome: Aa51jon05M   | Arquivo: Aa51jon05M.mp3   | Tamanho: 12880 bytes
ID_DEC: 0690 | ID_HEX: 0x02b2 | Nome: Aa51jon06M   | Arquivo: Aa51jon06M.mp3   | Tamanho: 11088 bytes
ID_DEC: 0691 | ID_HEX: 0x02b3 | Nome: Aa51jon07M   | Arquivo: Aa51jon07M.mp3   | Tamanho: 4688 bytes
ID_DEC: 0692 | ID_HEX: 0x02b4 | Nome: Aa51jon08M   | Arquivo: Aa51jon08M.mp3   | Tamanho: 4304 bytes
ID_DEC: 0693 | ID_HEX: 0x02b5 | Nome: Aa51jon09M   | Arquivo: Aa51jon09M.mp3   | Tamanho: 5856 bytes
ID_DEC: 0694 | ID_HEX: 0x02b6 | Nome: Aa51jon10M   | Arquivo: Aa51jon10M.mp3   | Tamanho: 3520 bytes
ID_DEC: 0695 | ID_HEX: 0x02b7 | Nome: Aa51jon11M   | Arquivo: Aa51jon11M.mp3   | Tamanho: 4848 bytes
ID_DEC: 0696 | ID_HEX: 0x02b8 | Nome: Aa51jon12M   | Arquivo: Aa51jon12M.mp3   | Tamanho: 4688 bytes
ID_DEC: 0697 | ID_HEX: 0x02b9 | Nome: Aa51jon14M   | Arquivo: Aa51jon14M.mp3   | Tamanho: 8048 bytes
ID_DEC: 0698 | ID_HEX: 0x02ba | Nome: Aa51jon15M   | Arquivo: Aa51jon15M.mp3   | Tamanho: 11008 bytes
ID_DEC: 0699 | ID_HEX: 0x02bb | Nome: Aa51sci1M    | Arquivo: Aa51sci1M.mp3    | Tamanho: 6720 bytes
ID_DEC: 0700 | ID_HEX: 0x02bc | Nome: Aaf1jo01M    | Arquivo: Aaf1jo01M.mp3    | Tamanho: 10064 bytes
ID_DEC: 0701 | ID_HEX: 0x02bd | Nome: Aaf1jo02M    | Arquivo: Aaf1jo02M.mp3    | Tamanho: 10848 bytes
ID_DEC: 0702 | ID_HEX: 0x02be | Nome: Aaf1jo03M    | Arquivo: Aaf1jo03M.mp3    | Tamanho: 8432 bytes
ID_DEC: 0703 | ID_HEX: 0x02bf | Nome: Aaf1pr01M    | Arquivo: Aaf1pr01M.mp3    | Tamanho: 7808 bytes
ID_DEC: 0704 | ID_HEX: 0x02c0 | Nome: Aaf1pr02M    | Arquivo: Aaf1pr02M.mp3    | Tamanho: 3904 bytes
ID_DEC: 0705 | ID_HEX: 0x02c1 | Nome: Aaf1pr03M    | Arquivo: Aaf1pr03M.mp3    | Tamanho: 7104 bytes
ID_DEC: 0706 | ID_HEX: 0x02c2 | Nome: Aaf1pr04M    | Arquivo: Aaf1pr04M.mp3    | Tamanho: 3520 bytes
ID_DEC: 0707 | ID_HEX: 0x02c3 | Nome: Aaf1pr05M    | Arquivo: Aaf1pr05M.mp3    | Tamanho: 5232 bytes
ID_DEC: 0708 | ID_HEX: 0x02c4 | Nome: Aaf1pr06M    | Arquivo: Aaf1pr06M.mp3    | Tamanho: 5232 bytes
ID_DEC: 0709 | ID_HEX: 0x02c5 | Nome: Aaf1pr07M    | Arquivo: Aaf1pr07M.mp3    | Tamanho: 4304 bytes
ID_DEC: 0710 | ID_HEX: 0x02c6 | Nome: Aaf1pr08M    | Arquivo: Aaf1pr08M.mp3    | Tamanho: 17328 bytes
ID_DEC: 0711 | ID_HEX: 0x02c7 | Nome: Aaf1pr09M    | Arquivo: Aaf1pr09M.mp3    | Tamanho: 16080 bytes
ID_DEC: 0712 | ID_HEX: 0x02c8 | Nome: Aaf1pr10M    | Arquivo: Aaf1pr10M.mp3    | Tamanho: 5392 bytes
ID_DEC: 0713 | ID_HEX: 0x02c9 | Nome: Aaf1tr01M    | Arquivo: Aaf1tr01M.mp3    | Tamanho: 8432 bytes
